iter	Passed	Remaining
0	148	148283
1	149	74509
2	150	49935
3	151	37650
4	152	30294
5	153	25373
6	154	21889
7	155	19243
8	156	17185
9	157	15547
10	157	14200
11	158	13075
12	159	12127
13	160	11316
14	161	10608
15	162	9987
16	163	9442
17	164	8957
18	165	8522
19	165	8129
20	166	7778
21	167	7448
22	168	7150
23	169	6882
24	170	6634
25	170	6405
26	171	6190
27	172	5997
28	173	5815
29	174	5646
30	175	5488
31	176	5340
32	177	5202
33	178	5068
34	179	4943
35	180	4822
36	180	4708
37	182	4607
38	182	4505
39	183	4408
40	184	4316
41	185	4231
42	186	4149
43	187	4070
44	188	3991
45	188	3919
46	189	3852
47	190	3784
48	191	3719
49	192	3657
50	193	3596
51	194	3538
52	194	3483
53	195	3430
54	196	3379
55	197	3330
56	198	3283
57	199	3238
58	200	3194
59	201	3151
60	202	3111
61	202	3070
62	203	3032
63	205	2998
64	206	2966
65	207	2933
66	208	2900
67	209	2866
68	210	2836
69	211	2808
70	212	2780
71	213	2751
72	214	2721
73	215	2693
74	216	2665
75	217	2638
76	218	2614
77	219	2589
78	219	2564
79	220	2540
80	221	2516
81	222	2492
82	223	2468
83	224	2445
84	225	2422
85	225	2399
86	226	2378
87	227	2357
88	228	2336
89	229	2316
90	229	2297
91	230	2277
92	231	2259
93	232	2240
94	233	2222
95	234	2203
96	234	2187
97	235	2170
98	236	2154
99	237	2138
100	238	2121
101	239	2104
102	239	2089
103	240	2073
104	241	2058
105	242	2043
106	243	2029
107	243	2014
108	244	2000
109	245	1987
110	246	1974
111	247	1961
112	248	1948
113	249	1935
114	249	1922
115	250	1910
116	251	1898
117	252	1886
118	253	1875
119	254	1864
120	255	1852
121	255	1840
122	256	1829
123	257	1817
124	258	1806
125	259	1796
126	259	1786
127	260	1775
128	261	1765
129	262	1755
130	263	1746
131	264	1736
132	264	1727
133	265	1717
134	266	1707
135	267	1698
136	268	1689
137	268	1680
138	269	1670
139	270	1661
140	271	1652
141	272	1644
142	272	1635
143	273	1627
144	274	1616
145	274	1606
146	275	1598
147	276	1590
148	277	1582
149	277	1572
150	278	1563
151	278	1554
152	279	1546
153	280	1538
154	281	1532
155	281	1525
156	282	1516
157	283	1509
158	284	1502
159	284	1495
160	285	1488
161	286	1482
162	287	1476
163	288	1469
164	289	1463
165	289	1456
166	290	1450
167	291	1443
168	292	1435
169	292	1429
170	293	1423
171	294	1417
172	295	1411
173	296	1405
174	297	1400
175	297	1393
176	298	1388
177	299	1381
178	300	1376
179	300	1370
180	301	1365
181	302	1360
182	303	1354
183	304	1348
184	304	1341
185	305	1336
186	305	1329
187	306	1324
188	307	1319
189	308	1315
190	308	1308
191	309	1303
192	310	1298
193	311	1293
194	312	1288
195	313	1284
196	313	1279
197	314	1273
198	314	1267
199	315	1261
200	315	1255
201	316	1249
202	316	1243
203	317	1237
204	317	1231
205	318	1227
206	319	1222
207	320	1218
208	320	1213
209	321	1208
210	321	1202
211	322	1197
212	322	1192
213	323	1188
214	324	1183
215	324	1179
216	325	1173
217	325	1168
218	326	1163
219	326	1158
220	327	1153
221	327	1149
222	328	1144
223	329	1141
224	330	1137
225	330	1133
226	331	1130
227	333	1127
228	334	1124
